clock,avg_frame_bitrate,frame_bitrate_deviation,black_ratio_in_view,is_rebuffer,latency,download_data_in_interval
20090,3909047.3472,1749839156411.3499,0.0976,False,5150.0,575000.0
20100,3932770.8192,1664755558067.5334,0.092,False,5150.0,575000.0
20110,3950645.0688,1603763368083.7217,0.088,False,5150.0,575000.0
20120,3988839.4528,1460394608194.9265,0.0788,False,5150.0,575000.0
20130,4030233.5936,1314243874925.6914,0.0696,False,5150.0,575000.0
20140,4080390.6416,1125313854423.7356,0.058,False,5150.0,575000.0
20150,4116660.2384,991639433215.3606,0.05,False,5150.0,575000.0
20160,4125618.6256,957994073262.1046,0.048,False,5150.0,575000.0
20170,4130794.2496,937949245003.0034,0.0468,False,5150.0,575000.0
20180,4161152.3568,821670426824.724,0.04,False,5150.0,575000.0
20190,4184225.4592,732049708402.4274,0.0348,False,5150.0,575000.0
20200,4200972.0656,668889043780.4181,0.0312,False,5150.0,575000.0
20210,4214040.8176,619420805382.6212,0.0284,False,5150.0,575000.0
20220,4224469.7984,577032845689.6681,0.026,False,5150.0,575000.0
20230,4239957.2704,519662232536.946,0.0228,False,5150.0,575000.0
20240,4250688.8464,483456774938.7972,0.0208,False,5150.0,575000.0
20250,4257396.9264,455010115857.1833,0.0192,False,5150.0,575000.0
20260,4265738.4896,425722285574.5379,0.0176,False,5150.0,575000.0
20270,4280146.3344,374270367125.79535,0.0148,False,5150.0,575000.0
20280,4292991.7984,329783877556.6186,0.0124,False,5150.0,575000.0
20290,4303359.5344,292925330810.60565,0.0104,False,5150.0,575000.0
20300,4314521.376,254778941454.28574,0.0084,False,5150.0,575000.0
20310,4320164.3728,239018099070.2546,0.0076,False,5150.0,142392.0
20320,533037.576,1683769778814.662,0.8532,False,5150.0,575000.0
20330,509397.3024,1613901415568.851,0.8592,False,5150.0,575000.0
20340,503149.9728,1595090652422.3674,0.8608,False,5150.0,575000.0
20350,492055.2032,1561423661905.6948,0.8636,False,5150.0,575000.0
20360,480031.6512,1526867108056.0703,0.8668,False,5150.0,575000.0
20370,469289.2064,1494923733419.037,0.8696,False,5150.0,575000.0
20380,453646.4656,1447208824624.2378,0.8736,False,5150.0,575000.0
20390,438538.7472,1402678282958.1553,0.8776,False,5150.0,575000.0
20400,428907.7824,1372002723009.655,0.88,False,5150.0,575000.0
